doc,,mk123,,doc,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1092,0.6677877903,1092,1.375175834,1092,0.6677877903,
1091,0.6666898131,1091,1.364756584,1091,0.6666898131,
1090,0.6659080386,1090,1.355834723,1090,0.6659080386,
1089,0.6652519703,1089,1.348027825,1089,0.6652519703,
1088,0.6642515659,1088,1.340690494,1088,0.6642515659,
1087,0.6634324789,1087,1.334284782,1087,0.6634324789,
1086,0.6629012823,1086,1.328675032,1086,0.6629012823,
1085,0.6622553468,1085,1.324124336,1085,0.6622553468,
1084,0.661429584,1084,1.320521951,1084,0.661429584,
1083,0.6610816717,1083,1.317154527,1083,0.6610816717,
1082,0.6605698466,1082,1.314896464,1082,0.6605698466,
1081,0.6599162221,1081,1.313137412,1081,0.6599162221,
1080,0.659602344,1080,1.312260628,1080,0.659602344,
1079,0.6594119072,1079,1.312188983,1079,0.6594119072,
1078,0.658893764,1078,1.313131452,1078,0.658893764,
1077,0.6586273313,1077,1.315473914,1077,0.6586273313,
1076,0.6586248279,1076,1.318551421,1076,0.6586248279,
1075,0.6583683491,1075,1.323471785,1075,0.6583683491,
1074,0.6580466032,1074,1.330034137,1074,0.6580466032,
1073,0.6581878662,1073,1.337629795,1073,0.6581878662,
1072,0.6581615806,1072,1.347218275,1072,0.6581615806,
1071,0.6581149697,1071,1.358206153,1071,0.6581149697,
1070,0.6582267284,1070,1.370657206,1070,0.6582267284,
1069,0.6585451961,1069,1.383791685,1069,0.6585451961,
1068,0.6585883498,1068,1.397560835,1068,0.6585883498,
1067,0.6587108374,1067,1.411163211,1067,0.6587108374,
1066,0.6592203975,1066,1.423133612,1066,0.6592203975,
1065,0.6595753431,1065,1.434241056,1065,0.6595753431,
1064,0.6597160101,1064,1.443635702,1064,0.6597160101,
1063,0.6603797078,1063,1.452146411,1063,0.6603797078,
1062,0.6608960629,1062,1.458773136,1062,0.6608960629,
1061,0.661283195,1061,1.464564085,1061,0.661283195,
1060,0.6618586183,1060,1.468369842,1060,0.6618586183,
1059,0.6627613306,1059,1.471934795,1059,0.6627613306,
1058,0.6634007692,1058,1.475269198,1058,0.6634007692,
1057,0.6639213562,1057,1.477417827,1057,0.6639213562,
1056,0.6650418639,1056,1.478899121,1056,0.6650418639,
1055,0.6658229828,1055,1.48060143,1055,0.6658229828,
1054,0.6665842533,1054,1.481990099,1054,0.6665842533,
1053,0.6676589251,1053,1.484205961,1053,0.6676589251,
1052,0.6687712073,1052,1.486710906,1052,0.6687712073,
1051,0.6696065068,1051,1.491003156,1051,0.6696065068,
1050,0.6707179546,1050,1.497163534,1050,0.6707179546,
1049,0.6720877886,1049,1.506186366,1049,0.6720877886,
1048,0.6732442379,1048,1.518366218,1048,0.6732442379,
1047,0.6743766069,1047,1.533822298,1047,0.6743766069,
1046,0.6759003401,1046,1.554056883,1046,0.6759003401,
1045,0.6772590876,1045,1.579396248,1045,0.6772590876,
1044,0.6784889102,1044,1.610863328,1044,0.6784889102,
1043,0.6801238656,1043,1.649374366,1043,0.6801238656,
1042,0.6818304658,1042,1.694312334,1042,0.6818304658,
1041,0.6832535267,1041,1.742483497,1041,0.6832535267,
1040,0.6849534512,1040,1.795811176,1040,0.6849534512,
1039,0.6868041158,1039,1.851088643,1039,0.6868041158,
1038,0.6884476542,1038,1.904105306,1038,0.6884476542,
1037,0.6901724339,1037,1.957613587,1037,0.6901724339,
1036,0.6923069954,1036,2.004909277,1036,0.6923069954,
1035,0.6941827536,1035,2.040148258,1035,0.6941827536,
1034,0.6960195899,1034,2.064352989,1034,0.6960195899,
1033,0.6981220245,1033,2.077062368,1033,0.6981220245,
1032,0.7003658414,1032,2.078098297,1032,0.7003658414,
1031,0.7021638155,1031,2.066273451,1031,0.7021638155,
1030,0.7045131922,1030,2.043828249,1030,0.7045131922,
1029,0.7068918347,1029,2.014431477,1029,0.7068918347,
1028,0.7090319395,1028,1.981564879,1028,0.7090319395,
1027,0.7112564445,1027,1.942803264,1027,0.7112564445,
1026,0.7137544155,1026,1.903888464,1026,0.7137544155,
1025,0.7162020206,1025,1.863555551,1025,0.7162020206,
1024,0.7185149789,1024,1.823395133,1024,0.7185149789,
1023,0.7211486697,1023,1.786074758,1023,0.7211486697,
1022,0.7237567306,1022,1.753229737,1022,0.7237567306,
1021,0.7262068987,1021,1.722033024,1021,0.7262068987,
1020,0.728777945,1020,1.694730163,1020,0.728777945,
1019,0.7313334346,1019,1.672249079,1019,0.7313334346,
1018,0.7341160178,1018,1.650834203,1018,0.7341160178,
1017,0.7367479205,1017,1.633411288,1017,0.7367479205,
1016,0.7394939661,1016,1.619460106,1016,0.7394939661,
1015,0.7421936989,1015,1.608790994,1015,0.7421936989,
1014,0.7447745204,1014,1.601257086,1014,0.7447745204,
1013,0.7474665046,1013,1.595597625,1013,0.7474665046,
1012,0.7502402663,1012,1.592978477,1012,0.7502402663,
1011,0.7528969049,1011,1.593037367,1011,0.7528969049,
1010,0.7555474639,1010,1.595009208,1010,0.7555474639,
1009,0.7583019733,1009,1.599905133,1009,0.7583019733,
1008,0.7609061003,1008,1.607092738,1008,0.7609061003,
1007,0.7635043859,1007,1.61657846,1007,0.7635043859,
1006,0.7660734057,1006,1.628038883,1006,0.7660734057,
1005,0.7689172029,1005,1.643139839,1005,0.7689172029,
1004,0.7713589668,1004,1.660540462,1004,0.7713589668,
1003,0.7738928795,1003,1.679632306,1003,0.7738928795,
1002,0.7765401006,1002,1.703792691,1002,0.7765401006,
1001,0.7789314389,1001,1.730620861,1001,0.7789314389,
1000,0.7812680006,1000,1.760107398,1000,0.7812680006,
999,0.783878088,999,1.796674371,999,0.783878088,
998,0.7863640189,998,1.836698771,998,0.7863640189,
997,0.7885643244,997,1.879514098,997,0.7885643244,
996,0.7910328507,996,1.925645709,996,0.7910328507,
995,0.7931477427,995,1.974519014,995,0.7931477427,
994,0.7952440381,994,2.025241375,994,0.7952440381,
993,0.7973722219,993,2.075725079,993,0.7973722219,
992,0.7995000482,992,2.126663446,992,0.7995000482,
991,0.801466465,991,2.172523975,991,0.801466465,
990,0.8032801151,990,2.213118315,990,0.8032801151,
989,0.8051104546,989,2.246701002,989,0.8051104546,
988,0.8068073392,988,2.272830009,988,0.8068073392,
987,0.8082540035,987,2.292878151,987,0.8082540035,
986,0.8097831011,986,2.301851273,986,0.8097831011,
985,0.8112307787,985,2.304780722,985,0.8112307787,
984,0.8123978376,984,2.298485756,984,0.8123978376,
983,0.8134868145,983,2.281421661,983,0.8134868145,
982,0.8144236207,982,2.261827946,982,0.8144236207,
981,0.8152195215,981,2.234420776,981,0.8152195215,
980,0.8158915043,980,2.201298237,980,0.8158915043,
979,0.8164966702,979,2.16425705,979,0.8164966702,
978,0.8167815208,978,2.129861832,978,0.8167815208,
977,0.8170203567,977,2.093720198,977,0.8170203567,
976,0.8169971704,976,2.059187651,976,0.8169971704,
975,0.816878736,975,2.029283047,975,0.816878736,
974,0.8164936304,974,2.00229764,974,0.8164936304,
973,0.8161026835,973,1.9798733,973,0.8161026835,
972,0.8156408072,972,1.96338141,972,0.8156408072,
971,0.8151980042,971,1.952338099,971,0.8151980042,
970,0.8146876693,970,1.94231081,970,0.8146876693,
969,0.8141880035,969,1.935635924,969,0.8141880035,
968,0.8134146333,968,1.92916429,968,0.8134146333,
967,0.8126721382,967,1.921907783,967,0.8126721382,
966,0.8118137121,966,1.910614967,966,0.8118137121,
965,0.8105909228,965,1.894928455,965,0.8105909228,
964,0.8093124032,964,1.876737118,964,0.8093124032,
963,0.8078483939,963,1.854311585,963,0.8078483939,
962,0.8057379723,962,1.828979135,962,0.8057379723,
961,0.8032029867,961,1.800669193,961,0.8032029867,
960,0.8002183437,960,1.770323277,960,0.8002183437,
959,0.7965320945,959,1.740824699,959,0.7965320945,
958,0.7920948267,958,1.712064862,958,0.7920948267,
957,0.7870492339,957,1.682706833,957,0.7870492339,
956,0.7813196778,956,1.654480696,956,0.7813196778,
955,0.7746095657,955,1.626760364,955,0.7746095657,
954,0.76731354,954,1.599522233,954,0.76731354,
953,0.7602296472,953,1.574917197,953,0.7602296472,
952,0.7531149387,952,1.552955508,952,0.7531149387,
951,0.7461335659,951,1.531949401,951,0.7461335659,
950,0.7396354675,950,1.513221264,950,0.7396354675,
949,0.7334913611,949,1.495785475,949,0.7334913611,
948,0.7273903489,948,1.478803754,948,0.7273903489,
947,0.7221653461,947,1.46408236,947,0.7221653461,
946,0.7175478935,946,1.451402783,946,0.7175478935,
945,0.7130458355,945,1.439068556,945,0.7130458355,
944,0.708896637,944,1.428028345,944,0.708896637,
943,0.7052175999,943,1.418355227,943,0.7052175999,
942,0.7012375593,942,1.408580303,942,0.7012375593,
941,0.6976129413,941,1.400590301,941,0.6976129413,
940,0.6946440935,940,1.393030047,940,0.6946440935,
939,0.6914725304,939,1.386486769,939,0.6914725304,
938,0.6883403063,938,1.380728245,938,0.6883403063,
937,0.685588181,937,1.375687957,937,0.685588181,
936,0.682877779,936,1.371097445,936,0.682877779,
935,0.679900527,935,1.367758989,935,0.679900527,
934,0.6772730947,934,1.365232587,934,0.6772730947,
933,0.6749535799,933,1.363340259,933,0.6749535799,
932,0.6725563407,932,1.363095999,932,0.6725563407,
931,0.670373261,931,1.363814473,931,0.670373261,
930,0.6685699224,930,1.364873886,930,0.6685699224,
929,0.6665776968,929,1.366639733,929,0.6665776968,
928,0.6646355987,928,1.368813872,928,0.6646355987,
927,0.6632400751,927,1.370441914,927,0.6632400751,
926,0.6618204713,926,1.371578097,926,0.6618204713,
925,0.6603310108,925,1.37195158,925,0.6603310108,
924,0.659147203,924,1.371298671,924,0.659147203,
923,0.6581279635,923,1.369078755,923,0.6581279635,
922,0.6571161151,922,1.365628719,922,0.6571161151,
921,0.6560992599,921,1.361764431,921,0.6560992599,
920,0.6555959582,920,1.35687542,920,0.6555959582,
919,0.6550404429,919,1.351100802,919,0.6550404429,
918,0.6543569565,918,1.346000075,918,0.6543569565,
917,0.6540033817,917,1.34034276,917,0.6540033817,
916,0.6537550092,916,1.334837079,916,0.6537550092,
915,0.6532912254,915,1.330299854,915,0.6532912254,
914,0.6530398726,914,1.326372147,914,0.6530398726,
913,0.6531671286,913,1.322458863,913,0.6531671286,
912,0.6530362964,912,1.319620132,912,0.6530362964,
911,0.6528608203,911,1.317173243,911,0.6528608203,
910,0.653042376,910,1.314619064,910,0.653042376,
909,0.6532062888,909,1.312893748,909,0.6532062888,
908,0.6531611681,908,1.312181115,908,0.6531611681,
907,0.6534013748,907,1.311380386,907,0.6534013748,
906,0.6537603736,906,1.310863614,906,0.6537603736,
905,0.6538484097,905,1.310801506,905,0.6538484097,
904,0.6540918946,904,1.311320186,904,0.6540918946,
903,0.6546206474,903,1.311931133,903,0.6546206474,
902,0.6549575925,902,1.313386917,902,0.6549575925,
901,0.6550803781,901,1.314677238,901,0.6550803781,
900,0.6557236314,900,1.316551924,900,0.6557236314,
899,0.656249702,899,1.318620682,899,0.656249702,
898,0.6565240622,898,1.321295261,898,0.6565240622,
